asset,time,FeeMeanUSD
btc,2011-04-17 00:00:00+00:00,0.001120824
btc,2011-04-18 00:00:00+00:00,0.001374914
btc,2011-04-19 00:00:00+00:00,0.001925159
btc,2011-04-20 00:00:00+00:00,0.002888821
btc,2011-04-21 00:00:00+00:00,0.002315657
btc,2011-04-22 00:00:00+00:00,0.003910814
btc,2011-04-23 00:00:00+00:00,0.006105638
btc,2011-04-24 00:00:00+00:00,0.003363855
btc,2011-04-25 00:00:00+00:00,0.005966443
btc,2011-04-26 00:00:00+00:00,0.002759095
btc,2011-04-27 00:00:00+00:00,0.003972535
btc,2011-04-28 00:00:00+00:00,0.005360026
btc,2011-04-29 00:00:00+00:00,0.006435313
btc,2011-04-30 00:00:00+00:00,0.008486396
btc,2011-05-01 00:00:00+00:00,0.009155805
btc,2011-05-02 00:00:00+00:00,0.005400098
btc,2011-05-03 00:00:00+00:00,0.005890929
btc,2011-05-04 00:00:00+00:00,0.008400892
btc,2011-05-05 00:00:00+00:00,0.009849212
btc,2011-05-06 00:00:00+00:00,0.008479498
btc,2011-05-07 00:00:00+00:00,0.006525854
btc,2011-05-08 00:00:00+00:00,0.010880368
btc,2011-05-09 00:00:00+00:00,0.012279242
btc,2011-05-10 00:00:00+00:00,0.015692652
btc,2011-05-11 00:00:00+00:00,0.015129416
btc,2011-05-12 00:00:00+00:00,0.014446406
btc,2011-05-13 00:00:00+00:00,0.024486084
btc,2011-05-14 00:00:00+00:00,0.024157663
btc,2011-05-15 00:00:00+00:00,0.028947886
btc,2011-05-16 00:00:00+00:00,0.028288878
btc,2011-05-17 00:00:00+00:00,0.023713536
btc,2011-05-18 00:00:00+00:00,0.025502835
btc,2011-05-19 00:00:00+00:00,0.024344678
btc,2011-05-20 00:00:00+00:00,0.021361146
btc,2011-05-21 00:00:00+00:00,0.027330332
btc,2011-05-22 00:00:00+00:00,0.024818476
btc,2011-05-23 00:00:00+00:00,0.023322987
btc,2011-05-24 00:00:00+00:00,0.028033428
btc,2011-05-25 00:00:00+00:00,0.030262138
btc,2011-05-26 00:00:00+00:00,0.027578205
btc,2011-05-27 00:00:00+00:00,0.025113937
btc,2011-05-28 00:00:00+00:00,0.024038654
btc,2011-05-29 00:00:00+00:00,0.026175662
btc,2011-05-30 00:00:00+00:00,0.031104837
btc,2011-05-31 00:00:00+00:00,0.029769111
btc,2011-06-01 00:00:00+00:00,0.036169263
btc,2011-06-02 00:00:00+00:00,0.036307435
btc,2011-06-03 00:00:00+00:00,0.045718012
btc,2011-06-04 00:00:00+00:00,0.068439453
btc,2011-06-05 00:00:00+00:00,0.046612343
btc,2011-06-06 00:00:00+00:00,0.057029528
btc,2011-06-07 00:00:00+00:00,0.07700861
btc,2011-06-08 00:00:00+00:00,0.113933072
btc,2011-06-09 00:00:00+00:00,0.100928971
btc,2011-06-10 00:00:00+00:00,0.082661235
btc,2011-06-11 00:00:00+00:00,0.049027354
btc,2011-06-12 00:00:00+00:00,0.069910596
btc,2011-06-13 00:00:00+00:00,0.063942633
btc,2011-06-14 00:00:00+00:00,0.04999113
btc,2011-06-15 00:00:00+00:00,0.063097979
btc,2011-06-16 00:00:00+00:00,0.046097753
btc,2011-06-17 00:00:00+00:00,0.043139279
btc,2011-06-18 00:00:00+00:00,0.041443083
btc,2011-06-19 00:00:00+00:00,0.038860965
btc,2011-06-20 00:00:00+00:00,0.032966586
btc,2011-06-21 00:00:00+00:00,0.032990495
btc,2011-06-22 00:00:00+00:00,0.027474911
btc,2011-06-23 00:00:00+00:00,0.025163336
btc,2011-06-24 00:00:00+00:00,0.026853582
btc,2011-06-25 00:00:00+00:00,0.043182445
btc,2011-06-26 00:00:00+00:00,0.041512032
btc,2011-06-27 00:00:00+00:00,0.038767105
btc,2011-06-28 00:00:00+00:00,0.031588515
btc,2011-06-29 00:00:00+00:00,0.03453422
btc,2011-06-30 00:00:00+00:00,0.030422521
btc,2011-07-01 00:00:00+00:00,0.02749057
btc,2011-07-02 00:00:00+00:00,0.028743871
btc,2011-07-03 00:00:00+00:00,0.024969296
btc,2011-07-04 00:00:00+00:00,0.023750377
btc,2011-07-05 00:00:00+00:00,0.02710915
btc,2011-07-06 00:00:00+00:00,0.024412029
btc,2011-07-07 00:00:00+00:00,0.022773939
btc,2011-07-08 00:00:00+00:00,0.022877747
btc,2011-07-09 00:00:00+00:00,0.02421726
btc,2011-07-10 00:00:00+00:00,0.022597891
btc,2011-07-11 00:00:00+00:00,0.019918537
btc,2011-07-12 00:00:00+00:00,0.021593445
btc,2011-07-13 00:00:00+00:00,0.024000091
btc,2011-07-14 00:00:00+00:00,0.021664275
btc,2011-07-15 00:00:00+00:00,0.028682183
btc,2011-07-16 00:00:00+00:00,0.017252811
btc,2011-07-17 00:00:00+00:00,0.019538915
btc,2011-07-18 00:00:00+00:00,0.020256459
btc,2011-07-19 00:00:00+00:00,0.02270392
btc,2011-07-20 00:00:00+00:00,0.016444917
btc,2011-07-21 00:00:00+00:00,0.015149681
btc,2011-07-22 00:00:00+00:00,0.021301173
btc,2011-07-23 00:00:00+00:00,0.014062224
btc,2011-07-24 00:00:00+00:00,0.019719157
btc,2011-07-25 00:00:00+00:00,0.016387613
btc,2011-07-26 00:00:00+00:00,0.013178178
btc,2011-07-27 00:00:00+00:00,0.015963988
btc,2011-07-28 00:00:00+00:00,0.012708715
btc,2011-07-29 00:00:00+00:00,0.013842906
btc,2011-07-30 00:00:00+00:00,0.012423705
btc,2011-07-31 00:00:00+00:00,0.011438308
btc,2011-08-01 00:00:00+00:00,0.012453252
btc,2011-08-02 00:00:00+00:00,0.010617513
btc,2011-08-03 00:00:00+00:00,0.009817332
btc,2011-08-04 00:00:00+00:00,0.010359311
btc,2011-08-05 00:00:00+00:00,0.00853063
btc,2011-08-06 00:00:00+00:00,0.026344165
btc,2011-08-07 00:00:00+00:00,0.008534929
btc,2011-08-08 00:00:00+00:00,0.008531524
btc,2011-08-09 00:00:00+00:00,0.012660863
btc,2011-08-10 00:00:00+00:00,0.013337266
btc,2011-08-11 00:00:00+00:00,0.008958437
btc,2011-08-12 00:00:00+00:00,0.008355357
btc,2011-08-13 00:00:00+00:00,0.009887884
btc,2011-08-14 00:00:00+00:00,0.014653004
btc,2011-08-15 00:00:00+00:00,0.013288004
btc,2011-08-16 00:00:00+00:00,0.011235585
btc,2011-08-17 00:00:00+00:00,0.009987776
btc,2011-08-18 00:00:00+00:00,0.008793069
btc,2011-08-19 00:00:00+00:00,0.012246797
btc,2011-08-20 00:00:00+00:00,0.008906898
btc,2011-08-21 00:00:00+00:00,0.008313286
btc,2011-08-22 00:00:00+00:00,0.010700938
btc,2011-08-23 00:00:00+00:00,0.010775581
btc,2011-08-24 00:00:00+00:00,0.013012016
btc,2011-08-25 00:00:00+00:00,0.008099107
btc,2011-08-26 00:00:00+00:00,0.005212038
btc,2011-08-27 00:00:00+00:00,0.007030634
btc,2011-08-28 00:00:00+00:00,0.007254323
btc,2011-08-29 00:00:00+00:00,0.006064353
btc,2011-08-30 00:00:00+00:00,0.011548623
btc,2011-08-31 00:00:00+00:00,0.006685322
btc,2011-09-01 00:00:00+00:00,0.006542844
btc,2011-09-02 00:00:00+00:00,0.008404158
btc,2011-09-03 00:00:00+00:00,0.005575628
btc,2011-09-04 00:00:00+00:00,0.011644479
btc,2011-09-05 00:00:00+00:00,0.007712748
btc,2011-09-06 00:00:00+00:00,0.005786217
btc,2011-09-07 00:00:00+00:00,0.008522164
btc,2011-09-08 00:00:00+00:00,0.004760077
btc,2011-09-09 00:00:00+00:00,0.005459628
btc,2011-09-10 00:00:00+00:00,0.004264134
btc,2011-09-11 00:00:00+00:00,0.004731917
btc,2011-09-12 00:00:00+00:00,0.005069594
btc,2011-09-13 00:00:00+00:00,0.003789789
btc,2011-09-14 00:00:00+00:00,0.003535136
btc,2011-09-15 00:00:00+00:00,0.005661152
btc,2011-09-16 00:00:00+00:00,0.003900935
btc,2011-09-17 00:00:00+00:00,0.004726976
btc,2011-09-18 00:00:00+00:00,0.004836867
btc,2011-09-19 00:00:00+00:00,0.004866103
btc,2011-09-20 00:00:00+00:00,0.005080024
btc,2011-09-21 00:00:00+00:00,0.00384299
btc,2011-09-22 00:00:00+00:00,0.003499552
