asset,time,FeeMeanUSD
ltc,2013-07-13 00:00:00+00:00,0.038004921
ltc,2013-07-14 00:00:00+00:00,0.050516087
ltc,2013-07-15 00:00:00+00:00,0.060613398
ltc,2013-07-16 00:00:00+00:00,0.042715189
ltc,2013-07-17 00:00:00+00:00,0.036352617
ltc,2013-07-18 00:00:00+00:00,0.050167698
ltc,2013-07-19 00:00:00+00:00,0.043931867
ltc,2013-07-20 00:00:00+00:00,0.056427336
ltc,2013-07-21 00:00:00+00:00,0.047604037
ltc,2013-07-22 00:00:00+00:00,0.055186931
ltc,2013-07-23 00:00:00+00:00,0.046031225
ltc,2013-07-24 00:00:00+00:00,0.043357992
ltc,2013-07-25 00:00:00+00:00,0.040351468
ltc,2013-07-26 00:00:00+00:00,0.029209571
ltc,2013-07-27 00:00:00+00:00,0.032167588
ltc,2013-07-28 00:00:00+00:00,0.034545294
ltc,2013-07-29 00:00:00+00:00,0.036968097
ltc,2013-07-30 00:00:00+00:00,0.048920196
ltc,2013-07-31 00:00:00+00:00,0.043288317
ltc,2013-08-01 00:00:00+00:00,0.037073485
ltc,2013-08-02 00:00:00+00:00,0.037326339
ltc,2013-08-03 00:00:00+00:00,0.03641886
ltc,2013-08-04 00:00:00+00:00,0.046034695
ltc,2013-08-05 00:00:00+00:00,0.051213744
ltc,2013-08-06 00:00:00+00:00,0.039811771
ltc,2013-08-07 00:00:00+00:00,0.056234658
ltc,2013-08-08 00:00:00+00:00,0.038614751
ltc,2013-08-09 00:00:00+00:00,0.038477727
ltc,2013-08-10 00:00:00+00:00,0.056485798
ltc,2013-08-11 00:00:00+00:00,0.02476587
ltc,2013-08-12 00:00:00+00:00,0.021720145
ltc,2013-08-13 00:00:00+00:00,0.026036721
ltc,2013-08-14 00:00:00+00:00,0.038702959
ltc,2013-08-15 00:00:00+00:00,0.035474755
ltc,2013-08-16 00:00:00+00:00,0.023381623
ltc,2013-08-17 00:00:00+00:00,0.027441752
ltc,2013-08-18 00:00:00+00:00,0.028520685
ltc,2013-08-19 00:00:00+00:00,0.027125839
ltc,2013-08-20 00:00:00+00:00,0.041658441
ltc,2013-08-21 00:00:00+00:00,0.027410045
ltc,2013-08-22 00:00:00+00:00,0.019038701
ltc,2013-08-23 00:00:00+00:00,0.022928626
ltc,2013-08-24 00:00:00+00:00,0.047679534
ltc,2013-08-25 00:00:00+00:00,0.034620594
ltc,2013-08-26 00:00:00+00:00,0.039410871
ltc,2013-08-27 00:00:00+00:00,0.03892089
ltc,2013-08-28 00:00:00+00:00,0.028828449
ltc,2013-08-29 00:00:00+00:00,0.021696933
ltc,2013-08-30 00:00:00+00:00,0.025512845
ltc,2013-08-31 00:00:00+00:00,0.020964787
ltc,2013-09-01 00:00:00+00:00,0.025296044
ltc,2013-09-02 00:00:00+00:00,0.028898312
ltc,2013-09-03 00:00:00+00:00,0.025200551
ltc,2013-09-04 00:00:00+00:00,0.034541493
ltc,2013-09-05 00:00:00+00:00,0.033412512
ltc,2013-09-06 00:00:00+00:00,0.024751432
ltc,2013-09-07 00:00:00+00:00,0.029282247
ltc,2013-09-08 00:00:00+00:00,0.022939058
ltc,2013-09-09 00:00:00+00:00,0.028060631
ltc,2013-09-10 00:00:00+00:00,0.027727274
ltc,2013-09-11 00:00:00+00:00,0.029928217
ltc,2013-09-12 00:00:00+00:00,0.028488458
ltc,2013-09-13 00:00:00+00:00,0.141520461
ltc,2013-09-14 00:00:00+00:00,0.031410796
ltc,2013-09-15 00:00:00+00:00,0.027473132
ltc,2013-09-16 00:00:00+00:00,0.02666012
ltc,2013-09-17 00:00:00+00:00,0.024566978
ltc,2013-09-18 00:00:00+00:00,0.023949293
ltc,2013-09-19 00:00:00+00:00,0.029769891
ltc,2013-09-20 00:00:00+00:00,0.02869935
